Day,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,All conv.,View-through conv.,Conv-Cost
2/15/2017,2829,348334,0.81%,2.34,"6,631.11",1.1,154,43.06,5.44%,154,89,0.023223864
2/11/2017,2216,390520,0.57%,2.54,"5,617.85",1.1,106,53,4.78%,106,36,0.018868428
1/15/2017,1888,314829,0.60%,2.96,"5,593.95",1.1,81,69.06,4.29%,81,68,0.014479929
1/31/2017,3406,693475,0.49%,1.92,"6,528.72",1,161,40.55,4.73%,161,212,0.02466027
6/14/2017,2918,374322,0.78%,2.13,"6,220.63",1.1,128,48.6,4.39%,128,20,0.020576694
3/12/2017,2170,318068,0.68%,2.49,"5,406.63",1.1,111,48.71,3.41%,111,51,0.020530349
2/12/2017,2010,407369,0.49%,2.8,"5,622.77",1.1,99,56.8,4.93%,99,48,0.01760698
3/24/2017,2496,369882,0.67%,2.39,"5,974.60",1.1,122,48.97,3.57%,128,48,0.020419777
1/28/2017,2302,500240,0.46%,2.47,"5,685.66",1,94,60.49,4.08%,94,37,0.016532821
6/20/2017,3575,423244,0.84%,2.37,"8,479.00",1.1,162,52.34,0.27%,162,5,0.019106027
3/14/2017,2876,284681,1.01%,2.48,"7,140.58",1.1,137,52.12,3.20%,137,46,0.019186117
4/12/2017,2533,362813,0.70%,2.2,"5,566.99",1.1,126,44.18,4.71%,126,50,0.022633416
3/27/2017,2485,445646,0.56%,2.5,"6,215.39",1.1,124,50.12,3.70%,124,37,0.019950478
6/1/2017,3293,572245,0.58%,2.1,"6,928.99",1,135,51.33,4.06%,135,31,0.019483359
1/2/2017,2144,524224,0.41%,2.33,"4,995.54",1.1,90,55.51,4.20%,90,48,0.01801607
4/10/2017,2498,369278,0.68%,2.23,"5,582.68",1.1,125,44.66,4.75%,125,34,0.02239068
4/24/2017,2382,290986,0.82%,2.33,"5,546.35",1.1,113,49.08,4.69%,116,82,0.020373759
4/11/2017,2587,344936,0.75%,2.11,"5,454.33",1.1,124,43.99,4.57%,129,57,0.022734231
3/5/2017,2174,294448,0.74%,2.52,"5,474.15",1.1,99,55.29,4.55%,99,19,0.018084999
6/9/2017,2924,390771,0.75%,2.12,"6,200.46",1.1,103,60.2,3.52%,107,21,0.016611671
5/26/2017,3522,834790,0.42%,1.86,"6,551.70",1,128,51.19,3.60%,128,22,0.019536914
5/1/2017,1971,180409,1.09%,2.34,"4,605.73",1.1,100,46.06,5.04%,105,8,0.021712085
2/27/2017,2544,304362,0.84%,2.45,"6,241.13",1.1,158,39.5,6.21%,158,98,0.025315928
5/8/2017,2428,474587,0.51%,2.21,"5,366.79",1.1,103,52.1,4.20%,106,7,0.019192106
5/16/2017,3345,374706,0.89%,1.8,"6,014.88",1.2,195,30.85,5.45%,196,29,0.032419599
4/25/2017,2514,196230,1.28%,2.13,"5,365.49",1.1,118,45.47,4.65%,120,4,0.0219924
3/2/2017,2690,308094,0.87%,2.48,"6,684.43",1.1,142,47.07,5.28%,142,74,0.021243397
3/15/2017,2758,269706,1.02%,2.46,"6,790.54",1.1,154,44.09,3.83%,157,62,0.022678609
4/16/2017,1707,318255,0.54%,2.38,"4,061.01",1.1,55,73.84,3.19%,58,19,0.013543429
1/14/2017,1850,259973,0.71%,2.92,"5,394.75",1.1,96,56.2,5.19%,96,47,0.017795079
2/24/2017,2492,288797,0.86%,2.47,"6,155.48",1.1,138,44.6,5.54%,138,63,0.022419048
5/13/2017,2826,867158,0.33%,1.93,"5,446.09",1,139,39.18,4.86%,141,13,0.025522898
6/15/2017,3258,377314,0.86%,2.15,"6,989.26",1.1,137,51.02,4.21%,137,10,0.019601503
5/19/2017,5269,2751236,0.19%,2.4,"12,659.21",1,162,78.14,0.41%,162,46,0.012797007
4/21/2017,2205,275946,0.80%,2.37,"5,219.80",1.1,128,40.78,5.75%,128,57,0.024522012
6/13/2017,3101,378818,0.82%,2.09,"6,474.38",1.1,122,53.07,3.93%,122,26,0.018843503
3/3/2017,2625,312869,0.84%,2.42,"6,356.92",1.1,140,45.41,5.33%,140,75,0.022023244
4/15/2017,1594,290020,0.55%,2.52,"4,022.39",1.1,74,54.36,4.57%,74,14,0.018397023
3/10/2017,2533,321477,0.79%,2.46,"6,222.88",1.1,128,48.62,3.67%,128,56,0.020569254
2/5/2017,2365,534886,0.44%,2.49,"5,898.93",1.1,101,58.41,4.27%,101,80,0.017121749
2/16/2017,2812,383505,0.73%,2.41,"6,785.62",1.1,145,46.8,5.16%,145,87,0.021368718
3/4/2017,2174,332534,0.65%,2.54,"5,513.22",1.1,119,46.33,5.47%,119,38,0.021584482
1/8/2017,2076,296429,0.70%,3.14,"6,514.09",1.1,109,59.76,5.25%,109,43,0.016732959
3/20/2017,2635,281328,0.94%,2.45,"6,454.32",1.1,159,40.59,4.12%,163,72,0.024634663
4/6/2017,2699,325140,0.83%,2.13,"5,752.72",1.1,142,40.51,4.63%,144,42,0.024683976
1/26/2017,3246,454093,0.71%,2.36,"7,663.97",1.1,169,45.35,5.21%,169,138,0.022051235
5/4/2017,2384,189701,1.26%,2.05,"4,890.02",1.1,120,40.75,4.98%,123,7,0.024539777
5/6/2017,1671,268136,0.62%,2.44,"4,077.15",1.1,86,47.41,5.07%,89,7,0.021093166
3/25/2017,1991,353727,0.56%,2.73,"5,426.43",1.1,86,63.1,3.16%,89,19,0.015848357
4/2/2017,1846,436015,0.42%,2.23,"4,121.61",1,66,62.45,2.38%,68,24,0.01601316
6/12/2017,3086,424949,0.73%,2.09,"6,445.67",1.1,109,59.13,3.53%,117,34,0.016910577
4/17/2017,2253,347884,0.65%,2.25,"5,063.38",1.1,125,40.51,5.51%,128,36,0.024687067
5/24/2017,4077,1308245,0.31%,1.93,"7,848.55",1,128,61.32,3.12%,131,40,0.016308745
4/1/2017,1893,422177,0.45%,2.47,"4,684.33",1,77,60.84,2.69%,77,18,0.016437783
1/24/2017,3224,369696,0.87%,2.43,"7,821.28",1.1,174,44.95,5.40%,174,119,0.022246998
4/14/2017,1921,321848,0.60%,2.49,"4,778.36",1.1,78,61.26,3.96%,80,22,0.016323592
2/14/2017,2758,384484,0.72%,2.44,"6,738.62",1.1,165,40.84,5.98%,165,85,0.024485726
2/7/2017,3193,523559,0.61%,2.5,"7,989.34",1.1,200,39.95,6.26%,200,149,0.025033357
1/16/2017,2768,337391,0.82%,2.61,"7,214.66",1.1,168,42.94,6.07%,168,155,0.023285921
3/30/2017,2595,385706,0.67%,2.5,"6,477.93",1.1,110,58.89,3.34%,112,37,0.016980733
3/21/2017,2639,293258,0.90%,2.42,"6,389.01",1.1,125,51.11,3.73%,136,39,0.019564847
